link_articol,platforma,data,cuvinte_cheie
https://www.digi24.ro/stiri/externe/aleksandr-lukasenko-vrea-un-nou-mandat-de-presedinte-la-alegerile-de-anul-viitor-spuneti-le-tuturor-ca-voi-candida-2700341, digi24, 26.02.2024 00:30 ,nothing
https://www.digi24.ro/stiri/externe/kievul-acuza-din-nou-armata-rusa-ca-a-impuscat-prizonieri-de-razboi-ucraineni-i-au-executat-fara-mila-2700333, digi24, 26.02.2024 00:10 ,război 
https://www.digi24.ro/stiri/externe/zelenski-anunta-ca-rusia-planuieste-o-noua-ofensiva-pentru-inceputul-verii-ne-vom-pregati-pentru-lupta-2700325, digi24, 25.02.2024 23:06 ,rusia 
https://www.digi24.ro/stiri/actualitate/politica/un-primar-de-comuna-este-presedintele-interimar-al-organizatiei-pnl-vrancea-dupa-decesul-lui-catalin-toma-cine-este-dragos-ciubotaru-2700313, digi24, 25.02.2024 22:37 ,nothing
https://www.digi24.ro/stiri/externe/talibanii-l-au-eliberat-pe-activistul-austriac-de-extrema-dreapta-care-era-retinut-in-afganistan-2700299, digi24, 25.02.2024 21:36 ,nothing
https://www.digi24.ro/stiri/externe/ue/doua-romance-care-locuiau-in-blocul-din-valencia-distrus-de-incendiu-sunt-de-negasit-administrator-imobil-reactia-mae-2700289, digi24, 25.02.2024 21:12 ,distrus 
https://www.digi24.ro/stiri/actualitate/s-a-castigat-marele-premiu-la-loto-6-49-in-valoare-de-peste-7-milioane-de-euro-biletul-castigator-a-costat-25-lei-unde-a-fost-jucat-2700281, digi24, 25.02.2024 20:33 ,nothing
https://www.digi24.ro/magazin/timp-liber/cultura/a-murit-criticul-si-istoricul-literar-alex-stefanescu-2700271, digi24, 25.02.2024 20:14 ,murit 
https://www.digi24.ro/stiri/spitalele-se-pregatesc-in-caz-de-razboi-arafat-chiar-daca-acest-lucru-e-foarte-putin-probabil-a-fi-pregatit-este-obligatoriu-2700263, digi24, 25.02.2024 20:02 ,război 
https://www.digi24.ro/stiri/externe/primul-bilant-oficial-al-pierderilor-suferite-de-ucraina-zelenski-31-000-de-militari-ucraineni-au-murit-in-acest-razboi-2700253, digi24, 25.02.2024 19:44 ,război ucraina murit 
https://www.digi24.ro/stiri/video-razii-de-amploare-in-bucuresti-si-ilfov-sofer-prins-beat-am-vrut-sa-ma-duc-pana-la-magazin-sa-iau-un-suc-un-kilometru-2700241, digi24, 25.02.2024 19:25 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/tanczos-barna-i-a-dat-lui-ciolacu-manuale-despre-istoria-tinutului-secuiesc-secuii-si-au-pierdut-autonomia-aici-la-siculeni-2700211, digi24, 25.02.2024 19:01 ,nothing
https://www.digi24.ro/stiri/actualitate/social/rezultate-loto-6-49-joker-5-40-noroc-duminica-25-februarie-2024-tragerile-speciale-de-dragobete-cu-fonduri-suplimentate-2699037, digi24, 25.02.2024 18:45 ,nothing
https://www.digi24.ro/stiri/femeie-in-stare-grava-dupa-ce-a-fost-batuta-in-scara-unui-bloc-din-centrul-vechi-agresorul-este-cautat-de-politie-2700199, digi24, 25.02.2024 18:20 ,nothing
https://www.digi24.ro/stiri/externe/seful-spionajului-militar-ucrainean-spune-ca-navalnii-a-murit-din-cauze-naturale-mesajul-criptic-al-lui-kirilo-budanov-2700195, digi24, 25.02.2024 18:11 ,murit 
https://www.digi24.ro/stiri/video-incendiu-la-un-apartament-plin-cu-animale-in-suceava-5-pisici-si-3-caini-au-murit-2700173, digi24, 25.02.2024 17:38 ,murit 
https://www.digi24.ro/stiri/actualitate/arhiepiscopia-tomisului-il-acuza-pe-vasile-banescu-ca-a-modificat-un-text-din-biblie-aveti-un-curriculum-vitae-disponibil-2700171, digi24, 25.02.2024 17:34 ,nothing
https://www.digi24.ro/stiri/un-istoric-din-deva-a-fost-reclamat-de-un-vecin-ca-are-prea-multe-carti-2700161, digi24, 25.02.2024 17:07 ,nothing
https://www.digi24.ro/stiri/ministrul-digitalizarii-oamenii-buni-nu-vor-fi-inlocuiti-de-noile-tehnologii-2700149, digi24, 25.02.2024 16:52 ,nothing
https://www.digi24.ro/stiri/externe/administratia-zelenski-sugereaza-posibilitatea-invitarii-rusiei-la-un-summit-de-pace-organizat-in-elvetia-2700137, digi24, 25.02.2024 16:44 ,rusiei 
https://www.digi24.ro/stiri/pericolul-deepfake-inainte-de-alegeri-ministrul-digitalizarii-astazi-e-un-clip-amuzant-dar-poate-sa-l-afecteze-pe-un-candidat-masiv-2700119, digi24, 25.02.2024 16:27 ,nothing
https://www.digi24.ro/stiri/externe/nou-atac-masiv-al-rusiei-cu-rachete-si-drone-asupra-ucrainei-kievul-spera-sa-primeasca-peste-11-miliarde-de-dolari-de-la-sua-in-2024-2700109, digi24, 25.02.2024 16:21 ,ucrainei rachete rusiei 
https://www.digi24.ro/stiri/actualitate/social/cele-mai-stresante-locuri-de-munca-care-sunt-joburile-care-provoaca-cele-mai-multe-boli-2695057, digi24, 25.02.2024 16:09 ,nothing
https://www.digi24.ro/stiri/accident-grav-trei-oameni-au-fost-raniti2700089-2700089, digi24, 25.02.2024 15:41 ,nothing
https://www.digi24.ro/magazin/timp-liber/film/video-mesajul-lui-sebastian-stan-dupa-ce-a-castigat-ursul-de-argint-pentru-un-baietel-din-romania-inseamna-foarte-mult-2700075, digi24, 25.02.2024 15:21 ,nothing
